"","Age","admission.department","flow"
"1",74,"Urology",1
"2",42,"Anorectal Surgery",1
"3",48,"Anorectal Surgery",1
"4",49,"Anorectal Surgery",2
"5",51,"Anorectal Surgery",1
"6",52,"Anorectal Surgery",4
"7",53,"Anorectal Surgery",6
"8",54,"Anorectal Surgery",3
"9",57,"Anorectal Surgery",1
"10",58,"Anorectal Surgery",1
"11",59,"Anorectal Surgery",2
"12",60,"Anorectal Surgery",2
"13",61,"Anorectal Surgery",1
"14",62,"Anorectal Surgery",8
"15",63,"Anorectal Surgery",6
"16",64,"Anorectal Surgery",9
"17",65,"Anorectal Surgery",2
"18",67,"Anorectal Surgery",4
"19",68,"Anorectal Surgery",1
"20",69,"Anorectal Surgery",1
"21",71,"Anorectal Surgery",1
"22",72,"Anorectal Surgery",1
"23",73,"Anorectal Surgery",2
"24",75,"Anorectal Surgery",1
"25",76,"Anorectal Surgery",2
"26",78,"Anorectal Surgery",1
"27",82,"Anorectal Surgery",3
"28",86,"Anorectal Surgery",1
"29",58,"Cardiology",1
"30",70,"Gastroenterology",1
"31",44,"Breast Thyroid Oncology Surgery",1
"32",53,"Breast Thyroid Oncology Surgery",1
"33",54,"Breast Thyroid Oncology Surgery",1
"34",55,"Breast Thyroid Oncology Surgery",1
"35",56,"Breast Thyroid Oncology Surgery",1
"36",57,"Breast Thyroid Oncology Surgery",1
"37",60,"Breast Thyroid Oncology Surgery",8
"38",61,"Breast Thyroid Oncology Surgery",1
"39",62,"Breast Thyroid Oncology Surgery",1
"40",66,"Breast Thyroid Oncology Surgery",1
"41",71,"Breast Thyroid Oncology Surgery",1
"42",68,"Department of Traditional Chinese Medicine",1
"43",72,"Breast Thyroid Oncology Surgery",1
"44",77,"Breast Thyroid Oncology Surgery",1
"45",38,"Breast Thyroid Surgery",1
"46",41,"Breast Thyroid Surgery",1
"47",44,"Breast Thyroid Surgery",2
"48",46,"Breast Thyroid Surgery",2
"49",47,"Breast Thyroid Surgery",2
"50",48,"Breast Thyroid Surgery",4
"51",49,"Breast Thyroid Surgery",2
"52",50,"Breast Thyroid Surgery",2
"53",51,"Breast Thyroid Surgery",1
"54",52,"Breast Thyroid Surgery",2
"55",53,"Breast Thyroid Surgery",5
"56",54,"Breast Thyroid Surgery",4
"57",55,"Breast Thyroid Surgery",3
"58",56,"Breast Thyroid Surgery",6
"59",57,"Breast Thyroid Surgery",4
"60",58,"Breast Thyroid Surgery",7
"61",59,"Breast Thyroid Surgery",7
"62",60,"Breast Thyroid Surgery",10
"63",61,"Breast Thyroid Surgery",19
"64",62,"Breast Thyroid Surgery",11
"65",63,"Breast Thyroid Surgery",1
"66",64,"Breast Thyroid Surgery",12
"67",65,"Breast Thyroid Surgery",4
"68",66,"Breast Thyroid Surgery",10
"69",67,"Breast Thyroid Surgery",25
"70",68,"Breast Thyroid Surgery",6
"71",69,"Breast Thyroid Surgery",2
"72",70,"Breast Thyroid Surgery",5
"73",71,"Breast Thyroid Surgery",7
"74",72,"Breast Thyroid Surgery",3
"75",73,"Breast Thyroid Surgery",3
"76",74,"Breast Thyroid Surgery",2
"77",75,"Breast Thyroid Surgery",1
"78",76,"Breast Thyroid Surgery",1
"79",77,"Breast Thyroid Surgery",2
"80",79,"Breast Thyroid Surgery",1
"81",81,"Breast Thyroid Surgery",3
"82",82,"Breast Thyroid Surgery",1
"83",83,"Breast Thyroid Surgery",1
"84",86,"Breast Thyroid Surgery",1
"85",55,"Department of Traditional Chinese Medicine",1
"86",68,"Cancer Center Ward 8",1
"87",49,"Breast Thyroid Surgery",1
"88",59,"Breast Thyroid Surgery",1
"89",71,"Breast Thyroid Surgery",1
"90",20,"Cardiac Large Vascular Surgery",1
"91",27,"Cardiac Large Vascular Surgery",1
"92",28,"Cardiac Large Vascular Surgery",1
