"","Age","admission.department","flow"
"1",39,"Ⅰ2 Emergency Surgery",1
"2",40,"Ⅰ2 Emergency Surgery",1
"3",57,"Ⅰ2 Emergency Surgery",1
"4",62,"Ⅰ2 Emergency Surgery",2
"5",73,"Ⅰ2 Emergency Surgery",1
"6",83,"Ⅰ2 Emergency Surgery",1
"7",16,"Anorectal Surgery",1
"8",27,"Anorectal Surgery",1
"9",28,"Anorectal Surgery",5
"10",30,"Anorectal Surgery",8
"11",31,"Anorectal Surgery",2
"12",36,"Anorectal Surgery",1
"13",39,"Anorectal Surgery",3
"14",42,"Anorectal Surgery",8
"15",43,"Anorectal Surgery",3
"16",44,"Anorectal Surgery",13
"17",45,"Anorectal Surgery",2
"18",46,"Anorectal Surgery",7
"19",47,"Anorectal Surgery",1
"20",48,"Anorectal Surgery",2
"21",49,"Anorectal Surgery",1
"22",50,"Anorectal Surgery",2
"23",51,"Anorectal Surgery",23
"24",52,"Anorectal Surgery",14
"25",53,"Anorectal Surgery",44
"26",54,"Anorectal Surgery",27
"27",55,"Anorectal Surgery",7
"28",56,"Anorectal Surgery",15
"29",57,"Anorectal Surgery",9
"30",58,"Anorectal Surgery",1
"31",59,"Anorectal Surgery",10
"32",60,"Anorectal Surgery",6
"33",61,"Anorectal Surgery",13
"34",62,"Anorectal Surgery",18
"35",63,"Anorectal Surgery",16
"36",64,"Anorectal Surgery",6
"37",65,"Anorectal Surgery",8
"38",66,"Anorectal Surgery",4
"39",67,"Anorectal Surgery",6
"40",68,"Anorectal Surgery",3
"41",69,"Anorectal Surgery",7
"42",70,"Anorectal Surgery",2
"43",71,"Anorectal Surgery",1
"44",74,"Anorectal Surgery",1
"45",76,"Anorectal Surgery",3
"46",78,"Anorectal Surgery",3
"47",58,"Cardiology",1
"48",70,"Gastroenterology",1
"49",22,"Breast Thyroid Oncology Surgery",2
"50",26,"Breast Thyroid Oncology Surgery",3
"51",27,"Breast Thyroid Oncology Surgery",4
"52",29,"Breast Thyroid Oncology Surgery",10
"53",30,"Breast Thyroid Oncology Surgery",12
"54",31,"Breast Thyroid Oncology Surgery",12
"55",32,"Breast Thyroid Oncology Surgery",6
"56",33,"Breast Thyroid Oncology Surgery",20
"57",34,"Breast Thyroid Oncology Surgery",20
"58",35,"Breast Thyroid Oncology Surgery",7
"59",36,"Breast Thyroid Oncology Surgery",10
"60",37,"Breast Thyroid Oncology Surgery",43
"61",38,"Breast Thyroid Oncology Surgery",4
"62",39,"Breast Thyroid Oncology Surgery",21
"63",40,"Breast Thyroid Oncology Surgery",8
"64",41,"Breast Thyroid Oncology Surgery",13
"65",42,"Breast Thyroid Oncology Surgery",21
"66",43,"Breast Thyroid Oncology Surgery",36
"67",44,"Breast Thyroid Oncology Surgery",16
"68",45,"Breast Thyroid Oncology Surgery",37
"69",46,"Breast Thyroid Oncology Surgery",10
"70",47,"Breast Thyroid Oncology Surgery",12
"71",48,"Breast Thyroid Oncology Surgery",26
"72",49,"Breast Thyroid Oncology Surgery",13
"73",50,"Breast Thyroid Oncology Surgery",16
"74",51,"Breast Thyroid Oncology Surgery",4
"75",52,"Breast Thyroid Oncology Surgery",20
"76",53,"Breast Thyroid Oncology Surgery",8
"77",54,"Breast Thyroid Oncology Surgery",22
"78",55,"Breast Thyroid Oncology Surgery",16
"79",56,"Breast Thyroid Oncology Surgery",17
"80",57,"Breast Thyroid Oncology Surgery",9
"81",58,"Breast Thyroid Oncology Surgery",7
"82",59,"Breast Thyroid Oncology Surgery",13
"83",60,"Breast Thyroid Oncology Surgery",23
"84",61,"Breast Thyroid Oncology Surgery",9
